Nome Pesquisado,ISBN,Data de Disponibilização,Número de páginas,Ano de publicação
Responsabilidade Penal dos Profissionais Jurídicos: Os Limites Entre a Prática Jurídico-Notarial Lícita e a Participação,9786556144283,28/04/2021,568,2021
Instituições de Direito Civil: familia,9786559913046,3/28/22,1008,2022
Conteúdo Extra Curso de Direito Processual Civil Moderno,,28/05/2021,,2021
Tratado de Direito Empresarial: Recuperação Empresarial e Falência,9788553211234,,640,2018
"Instituições de Direito Civil: das obrigações, dos contratos e da responsabilidade civil",9786559913022,3/28/22,1136,2022
"Instituições de Direito Civil: direitos patrimoniais, reais e registrários",9786559913039,3/28/22,864,2022
Instituições de Direito Civil: família e sucessões,9786559913046,3/28/22,1008,2022
Revista Brasileira de Ciências Criminais,,,,
Revista de Direito do Trabalho - 08/2017,9786556140278,26/06/2020,264,2020
Revista de Direito do Trabalho - 09/2017,9786556140278,26/06/2020,264,2020
Revista de Direito do Trabalho - 10/2017,9786556140278,26/06/2020,264,2020
Revista de Direito do Trabalho - 11/2017,9786556140278,26/06/2020,264,2020
Revista de Direito do Trabalho - 12/2017,9786556140278,26/06/2020,264,2020
Revista de Direito do Trabalho - 01/2018,9786556140278,26/06/2020,264,2020
