Nome Pesquisado,ISBN,Data de Disponibilização,Número de páginas,Ano de publicação,Link,Error
Jurisdição e Direito Privado: estudos em homenagem aos 20 anos da Ministra Nancy Andrighi no STJ,,,,,,Book not Found
A Lealdade Processual na Prestação Jurisdicional: Em Busca de Um Modelo de Juiz Leal,9788520373699,,300,2017,https://www.livrariart.com.br/a-lealdade-processual-na-prestacao-jurisdicional-em-busca-de-um-modelo-de-juiz-leal-colecao-liebman-1-edicao-9788520373699/p,
,,,,,,
Contratos built to suit: aspectos controvertidos decorrentes de uma nova modalidade contratual,,,,,,Book not Found
,,,,,,
Constituição Federal Comentada,9786559914616,28/01/2022,944,2022,https://www.livrariart.com.br/constituicao-federal-comentada-7-edicao-9786559914616/p,
,,,,,,
,,,,,,
"Ato administrativo, consequencialismo e compliance: Gestão de Riscos, Proteção de Dados e Soluções para o Controle Judicial na Era da IA",,,,,,Book not Found
Tratado de Direito Empresarial: empresa individual de responsabilidade limitada e sociedades de pessoas,,,,,,Book not Found
Tratado de Direito Empresarial: Sociedades Anônimas,9788553211210,,1248,2018,https://www.livrariart.com.br/tratado-de-direito-empresarial-vol-iii-sociedades-anonimas-2-edicao-9788553211210/p,
Tratado de Direito Empresarial: contratos mercantis,9788553211227,,496,2018,https://www.livrariart.com.br/tratado-de-direito-empresarial-vol-iv-contratos-mercantis-2-edicao-9788553211227/p,
Tratado de Direito Empresarial: mercado de capitais,9788553211241,,752,2018,https://www.livrariart.com.br/tratado-de-direito-empresarial-vol-vi-mercado-de-capitais-2-edicao-9788553211241/p,
Tratado de Direito Empresarial: direito concorrencial,9788553211258,,1864,2018,https://www.livrariart.com.br/tratado-de-direito-empresarial-vol-vii-direito-concorrencial-2-edicao-9788553211258/p,
Regularização Fundiária - Lei 13.465/2017,9788554947019,,300,2018,https://www.livrariart.com.br/regularizacao-fundiaria-lei-13-465-2017-9788554947019/p,
,,,,,,
,,,,,,
,,,,,,
Conceitos Médico-Legais para Indenização do Dano Corporal,9788554947408,,290,2018,https://www.livrariart.com.br/conceitos-medico-legais-para-indenizacao-do-dano-corporal-1-edicao-9788554947408/p,
Doutrinas Essenciais - Novo Processo Civil - Teoria Geral do Processo I,,,,,,Book not Found
Doutrinas Essenciais - Novo Processo Civil - Teoria Geral do Processo II,,,,,,Book not Found
Doutrinas Essenciais – Novo Processo Civil - Tutela Provisória,,,,,,Book not Found
Doutrinas Essenciais - Novo Processo Civil - Processo de Conhecimento,,,,,,Book not Found
Doutrinas Essenciais - Novo Processo Civil - Sentença e Coisa Julgada,,,,,,Book not Found
Doutrinas Essenciais - Novo Processo Civil - Precedentes - Execução - Procedimentos especiais,,,,,,Book not Found
Doutrinas Essenciais - Novo Processo Civil - Processos nos tribunais e meios de impugnação das decisões judiciais,,,,,,Book not Found
,,,,,,
Manual de Direito do Consumidor,9786556144399,26/02/2021,608,2021,https://www.livrariart.com.br/manual-de-direito-do-consumidor-9-edicao/p,
,,,,,,
,,,,,,
Da Cleptocracia para a Democracia em 2019,,,,,,Book not Found
Processo Administrativo: Lei 9.784/1999 comentada,9788553219483,,249,2019,https://www.livrariart.com.br/colecao-solucoes-em-direito-administrativo-leis-comentadas-volume-7-processo-administrativo-1-edicao/p,
Interesses Difusos: conceito e legitimação para agir,,,,,,Book not Found
,,,,,,
"Código Tributário Nacional Comentado: doutrina e jurisprudência, artigo por artigo",,,,,,Book not Found
Curso de economia: introdução ao direito econômico,,,,,,Book not Found
"Reforma Política e Eleições: retrospecto, diagnóstico e alternativas para o Brasil",9788554947781,,160,2018,https://www.livrariart.com.br/reforma-politica-e-eleicoes-retrospecto-diagnostico-e-alternativas-para-o-brasil-1-edicao-9788554947781/p,
,,,,,,
"Desastres Ambientais e sua Regulação Jurídica: deveres de prevenção, resposta e compensação ambiental",,,,,,Book not Found
Fundamentos principiológicos do Processo Civil,9788553210572,,800,2018,https://www.livrariart.com.br/fundamentos-principiologicos-do-processo-civil-3-edicao-9788553210572/p,
Contratos no Código de Defesa do Consumidor,9788553214273,,1616,2019,https://www.livrariart.com.br/contratos-no-codigo-de-defesa-do-consumidor-9-edicao-9788553214273/p,
Lei antitruste sistematizada: jurisprudência na visão do CADE,,,,,,Book not Found
,,,,,,
Enriquecimento Sem Causa: as obrigações restitutórias no Direito Civil,9788553210947,,330,2018,https://www.livrariart.com.br/enriquecimento-sem-causa-1-edicao-9788553210947/p,
Corrupção e Improbidade Administrativa: cenários de risco e a responsabilização dos agentes públicos municipais,,,,,,Book not Found
"Lavagem de Dinheiro - Aspectos penais e processuais penais: comentários à Lei 9.613/1998, com alterações da Lei 12.683/2012",,,,,,Book not Found
Marketing Jurídico na Prática,9786556144429,28/01/2021,264,2021,https://www.livrariart.com.br/marketing-juridico-na-pratica/p,
Conteúdo Extra Proview - Marketing Jurídico na Prática - (Em Breve),,,,,,Book not Found
,,,,,,
,,,,,,
Recuperação de Crédito,9786556148243,28/03/2021,620,2021,https://www.livrariart.com.br/recuperacao-de-credito/p,
Responsabilidade Civil do Médico,9786559917945,28/09/21,424,2021,https://www.livrariart.com.br/responsabilidade-civil-do-medico-9786559917945/p,
,,,,,,
Fake News,9786556147529,03/12/21,448,2021,https://www.livrariart.com.br/fake-news-e-regulacao-3-edicao-9786556147529/p,
,,,,,,
Alimentos,9786550651800,29/02/2020,656,2020,https://www.livrariart.com.br/alimentos-2-edicao-9786550651800/p,
Ética Negocial e Compliance: entre a educação executiva e a interpretação,,,,,,Book not Found
CPC em Foco,9788553212040,,800,2018,https://www.livrariart.com.br/cpc-em-foco-temas-essenciais-e-sua-receptividade-9788553212040/p,
Contraponto jurídico: posicionamentos divergentes sobre grandes temas do Direito,,,,,,Book not Found
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"Execução: teoria geral, princípios fundamentais, procedimento no processo civil brasileiro",,,,,,Book not Found
,,,,,,
,,,,,,
,,,,,,
Comentários ao Código de Defesa do Consumidor,9786559917075,44497,2032,2021,https://www.livrariart.com.br/comentarios-ao-codigo-de-defesa-do-consumidor-edicao-7-9786559917075/p,
,,,,,,
Greenwashing e o Direito do Consumidor: como prevenir (ou reprimir) o marketing ambiental ilícito,,,,,,Book not Found
A Boa-Fé Objetiva Pré-Contratual: deveres anexos de conduta,,,,,,Book not Found
Inovações na Cobrança do Crédito Tributário,9786559916948,28/10/2021,420,2021,https://www.livrariart.com.br/inovacoes-na-cobranca-do-credito-tributario-edicao-2-9786559916948/p,
Dano Moral,9786556145402,28/05/2021,176,2021,https://www.livrariart.com.br/dano-moral-e-reparacao-nao-pecuniaria/p,
"A Empresa Importadora: como criar, organizar e dirigir: planejamento, controle e gestão",,,,,,Book not Found
Direito Constitucional Tributário e Segurança Jurídica: metódica da segurança jurídica do sistema constitucional tributário,,,,,,Book not Found
Honorários Advocatícios: sucumbenciais e por arbitramento,9786559917099,28/10/2021,204,2021,https://www.livrariart.com.br/honorarios-advocaticios-edicao-2-9786559917099/p,
Direito Ambiental Brasileiro,9786556148267,28/05/2021,850,2021,https://www.livrariart.com.br/direito-ambiental-brasileiro/p,
Para Entender Kelsen,,,,,,Book not Found
Direito e poder: ensaio de epistemologia jurídica,,,,,,Book not Found
,,,,,,
,,,,,,
Planos de Saúde: a ótica da proteção do consumidor,,,,,,Book not Found
,,,,,,
,,,,,,
Ética da Magistratura,9788553214211,,416,2019,https://www.livrariart.com.br/etica-da-magistratura-4-edicao-9788553214211/p,
Da Execução de Alimentos e Prisão do Devedor,9786550652821,28/04/2020,236,2020,https://www.livrariart.com.br/da-execucao-de-aimentos-e-prisao-do-devedor-11-edicao/p,
Colaboração no Processo Civil: do modelo ao princípio,,,,,,Book not Found
Leis Processuais Civis Comentadas e Anotadas,9788553216130,,3000,2019,https://www.livrariart.com.br/leis-processuais-civis-comentadas-e-anotadas-5-edicao-9788553216130/p,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Temas de Direito Ambiental Econômico,9788553213719,,350,2019,https://www.livrariart.com.br/temas-de-direito-ambiental-economico-9788553213719/p,
O Tempo do Consumidor e o Menosprezo Planejado: o tratamento jurídico do tempo perdido e a superação das suas causas,,,,,,Book not Found
Direito do Ambiente,9786556141794,28/11/2020,1776,2020,https://www.livrariart.com.br/e-book-direito-do-ambiente-12-edicao/p,
Mini Dicionário Jurídico RT,,,,,,Book not Found
Crimes de Perigo Abstrato: uma análise das novas técnicas de tipificação no contexto da sociedade de risco,,,,,,Book not Found
Estatais,9786556145396,28/05/2021,270,2021,https://www.livrariart.com.br/estatais-estatais-no-mundo/p,
Transação Extrajudicial na Administração Pública,9788553213696,,450,2019,https://www.livrariart.com.br/transacao-extrajudicial-na-administracao-publica-9788553213696/p,
Introdução à ciência do direito privado,9788553217250,,704,2019,https://www.livrariart.com.br/introducao-a-ciencia-do-direito-privado-2-edicao-9788553217250/p,
Fundamentos de Direito Digital,9786550651312,,256,2020,https://www.livrariart.com.br/ebook-fundamentos-de-direito-digital-9786550651312/p,
Tributação das Cooperativas,9788553214372,,416,2019,https://www.livrariart.com.br/tributacao-das-cooperativas-4-edicao-9788553214372/p,
Elementos de Direito Cooperativo,9788553218066,,296,2019,https://www.livrariart.com.br/elementos-de-direito-cooperativo-2-edicao-9788553218066/p,
"Ativismo Jurídico em Processo Tributário: crise, teoria dos precedentes e efeitos do afastamento da estrita legalidade",,,,,,Book not Found
Constituição e Código Tributário Comentados,9786550652418,26/03/2020,1500,2020,https://www.livrariart.com.br/constituicao-e-codigo-tributario-comentados-9786550652418/p,
Microssistema de Recuperação do Crédito Fiscal: comentários às Leis de Execução Fiscal e Medida Cautelar,,,,,,Book not Found
Processo Constitucional ,9786559916511,28/11/21,1360,2021,https://www.livrariart.com.br/processo-constitucional-e-democracia-9786559916511/p,
Tratado de Direito Administrativo - Teoria geral e princípios do direito administrativo,,,,,,Book not Found
Tratado de Direito Administrativo - Administração pública e servidores públicos,,,,,,Book not Found
Tratado de Direito Administrativo - Direito administrativo dos bens e restrições estatais à propriedade,,,,,,
Tratado de Direito Administrativo: funções administrativas do Estado,,,,,,
Tratado de Direito Administrativo: licitação e contratos administrativos,,,,,,
Tratado de Direito Administrativo: controle da administração pública e responsabilidade do Estado,,,,,,
,,,,,,
CLT Comentada ,9786559913688,2/28/22,800,2022,https://www.livrariart.com.br/clt-comentada-4-edicao-9786559913688/p,
,,,,,,
Responsabilidade Penal da Pessoa Jurídica ,9786550654320,30/06/2020,368,2020,https://www.livrariart.com.br/responsabilidade-penal-da-pessoa-juridica/p,
Habeas Corpus ,9786559917877,28/09/21,554,2021,https://www.livrariart.com.br/habeas-corpus-no-supremo-tribunal-federal-9786559917877/p,
Manual da Execução ,9786556144382,28/01/2021,2032,2021,https://www.livrariart.com.br/manual-da-execucao-21-edicao/p,
Manual dos Recursos Penais ,9786559912582,3/28/22,746,2022,https://www.livrariart.com.br/manual-dos-recursos-penais-5-edicao/p,
Manual de Direito Administrativo ,9786559919031,04/08/2021,1100,2021,https://www.livrariart.com.br/manual-de-direito-administrativo-2-edicao-9786559919031/p,
,,,,,,
Direito penal: arts. 121 a 154-B do CP,,,,,,Book not Found
,,,,,,
,,,,,,
,,,,,,
"Curso de Direito Comercial: empresa e estabelecimento, títulos de crédito",,,,,,Book not Found
"Curso de arbitragem, mediação e conciliação: resolução - CNI 125/2010",,,,,,Book not Found
Curso de Execução Penal,9788553218103,,352,2019,https://www.livrariart.com.br/curso-de-execucao-penal-9788553218103/p,
Nulidades do Processo e da Sentença ,9786556149127,28/01/2022,624,2022,https://www.livrariart.com.br/nulidades-do-processo-e-da-sentenca-11-edicao-9786556149127/p,
Curso Básico de Previdência Complementar ,9788553219407,,176,2019,https://www.livrariart.com.br/curso-basico-de-previdencia-complementar-4-edicao/p,
,,,,,,
Litigância climática no Brasil,,,,,,Book not Found
Responsabilidade Civil por Acidente de Consumo na Internet ,9786550652913,28/04/2020,524,2020,https://www.livrariart.com.br/responsabilidade-civil-por-acidente-de-consumo-na-internet-3-edicao/p,
Resolução do Contrato por Inadimplemento,9786526009703,28/07/2022,168,2022,https://www.livrariart.com.br/resolucao-do-contrato-por-inadimplemento-9786526009703/p,
,,,,,,
,,,,,,
"Publicidade Processual, Liberdade de Expressão e Super-Injunction",9788553217113,,256,2019,https://www.livrariart.com.br/publicidade-processual-liberdade-de-expressao-e-super-injuction-9788553217113/p,
Nova Lei do Cadastro Positivo,9788553216161,,176,2019,https://www.livrariart.com.br/nova-lei-do-cadastro-positivo-9788553216161/p,
Advocacia 4.0,9788553218011,,217,2019,https://www.livrariart.com.br/ebook-advocacia-4-0-9788553218011/p,
,,,,,,
Conteúdo Extra – Regulamento do Imposto de Renda Rir 2019 – Anotado e Comentado ,,,,,,Book not Found
,,,,,,
Embargos de Declaração ,9786556142371,28/09/2020,224,2020,https://www.livrariart.com.br/embargos-de-declaracao-efeitos-infringentes-prequestionamento-e-outros-aspectos-polemicos-5-edicao/p,
,,,,,,
Retenções na Fonte de Impostos e Contribuições,9786550653590,27/05/2020,688,2020,https://www.livrariart.com.br/retencoes-na-fonte-de-impostos-e-contribuicoes-4-edicao/p,
,,,,,,
,,,,,,
,,,,,,
"Curso de Direito Comercial: contratos, falência e recuperação de empresas",,,,,,Book not Found
Convenção Europeia dos Direitos Humanos,9788553216642,,448,2019,https://www.livrariart.com.br/convencao-europeia-dos-direitos-humanos-9788553216642/p,
Privacidade e Redes Sociais Virtuais ,9788553217304,,272,2019,https://www.livrariart.com.br/privacidade-e-redes-sociais-virtuais-2-edicao-9788553217304/p,
Habeas Corpus no Supremo Tribunal Federal ,9786559917877,28/09/21,554,2021,https://www.livrariart.com.br/habeas-corpus-no-supremo-tribunal-federal-9786559917877/p,
Infrações Ambientais,9786559916207,11/28/21,552,2021,https://www.livrariart.com.br/e-book-infracoes-ambientais-4-edicao-9786559916207/p,
,,,,,,
Direito e Poder: ensaio e epistemologia jurídica,,,,,,Book not Found
,,,,,,
,,,,,,
Accountability e Transparência da Justiça Civil: uma perspectiva comparada,,,,,,Book not Found
Do Incidente de Assunção de Competência,9786550651831,29/02/2020,250,2020,https://www.livrariart.com.br/do-incidente-de-assuncao-de-competencia-9786550651831/p,
Nova Lei de Licitações e Contratos Comparada,9786556144283,28/04/2021,568,2021,https://www.livrariart.com.br/nova-lei-de-licitacoes-e-contratos/p,
,,,,,,
Prática e Estratégia - Previdência Complementar,9788553219902,,192,2019,https://www.livrariart.com.br/previdencia-complementar-2-edicao/p,
Compliance no Direito Ambiental,9786556142746,29/10/2020,520,2020,https://www.livrariart.com.br/compliance-no-direito-ambiental-volume-2/p,
,,,,,,
Compliance no Direito Trabalhista,9786556142777,29/10/2020,368,2020,https://www.livrariart.com.br/compliance-no-direito-trabalhista-volume-6/p,
Compliance no Direito Digital,9786556142784,29/10/2020,384,2020,https://www.livrariart.com.br/compliance-no-direito-digital-volume-3/p,
Compliance no Direito Empresarial,9786556142807,29/10/2020,432,2020,https://www.livrariart.com.br/compliance-no-direito-empresarial-volume-4/p,
Desconsideração da Personalidade Jurídica no Processo Civil,9786550654153,27/05/2020,144,2020,https://www.livrariart.com.br/e-book-desconsideracao-da-personalidade-juridica-no-processo-civil/p,
Licenciamento Ambiental,9786559911738,5/28/22,450,2022,https://www.livrariart.com.br/licenciamento-ambiental-9786559911738/p,
Curso de Direito do Consumidor,9788553219858,,1096,2019,https://www.livrariart.com.br/curso-de-direito-do-consumidor-8-edicao/p,
,,,,,,
Curso de Processo Penal,9786559914555,28/01/2022,1696,2022,https://www.livrariart.com.br/curso-de-processo-penal-8-edicao-9786559914555/p,
Manual de IPI e ICMS,9786550652494,26/03/2020,740,2020,https://www.livrariart.com.br/manual-de-ipi-e-icms-3-edicao-9786550652494/p,
,,,,,,
Prática e Estratégia - Registro imobiliário,9788553219933,,256,2019,https://www.livrariart.com.br/registro-imobiliario-2-edicao/p,
,,,,,,
"Recursos Especial e Extraordinário: técnica de elaboração, processamento e julgamento",,,,,,Book not Found
Direito Homoafetivo: criação e discussão nos poderes judiciário e legislativo,,,,,,Book not Found
,,,,,,
,,,,,,
,,,,,,
Fundamentos da Regulação da Privacidade e Proteção de Dados Pessoais,9788553219919,,240,2019,https://www.livrariart.com.br/fundamentos-da-regulacao-da-privacidade-de-protecao-de-dados-pessoais/p,
Tutela Coletiva: processo coletivo e técnicas de padronização das decisões,,,,,,Book not Found
Contratos na Sociedade de Consumo: vontade e confiança,,,,,,Book not Found
Curso Prático de Arbitragem e Administração Pública,9788553219216,,210,2019,https://www.livrariart.com.br/curso-pratico-de-arbitragem-e-administracao-publica/p,
Manual do Planejamento Patrimonial das Relações Afetivas e Sucessórias,9786559913596,2/28/22,416,2022,https://www.livrariart.com.br/manual-do-planejamento-patrimonial-das-relacoes-afetivas-e-sucessorias-3-edicao-9786559913596/p,
Prática e Estratégia - Gestão Jurídica Ambiental,,,,,,Book not Found
,,,,,,
A Nova Lei de Abuso de Autoridade,,,,,,Book not Found
,,,,,,
,,,,,,
Comentários ao GDPR: regulamento geral de proteção de dados da União Europeia,,,,,,Book not Found
,,,,,,
,,,,,,
Confisco Alargado de Bens,9786550650087,,300,2019,https://www.livrariart.com.br/confisco-alargado-de-bens-2-edicao/p,
Jurimetria,9786550650490,,192,2019,https://www.livrariart.com.br/ebook-jurimetria-2-edicao-9786550650490/p,
"Manual de Direito Processual Civil: teoria geral do processo, processo de conhecimento, recursos, precedentes",,,,,,Book not Found
Da Privacidade à Proteção de Dados Pessoais: elementos da formação da Lei geral de proteção de dados,,,,,,Book not Found
"Recurso Especial, Recurso Extraordinário e a Nova Função dos Tribunais Superiores: manual de implementação",,,,,,Book not Found
,,,,,,
Modulação: na alteração da jurisprudencia firme ou na de precedentes vinculantes,,,,,,Book not Found
Epistemologia Judiciária e Prova Penal,9788553218615,,304,2019,https://www.livrariart.com.br/ebook-epistemologia-judiciaria-e-prova-penal-9788553218615/p,
Crimes Culturalmente Motivados: ideologias e modelos penais,,,,,,Book not Found
Produção de Provas em Sede Recursal,9788553218578,,240,2019,https://www.livrariart.com.br/ebook-producao-de-provas-em-sede-recursal-9788553218578/p,
Manual de Juizados Especiais Cíveis Estaduais,9788553219940,,240,2019,https://www.livrariart.com.br/manual-dos-juizados-especiais-civeis-estaduais/p,
,,,,,,
,,,,,,
,,,,,,
A Criptografia no Direito Brasileiro,9788553219230,,256,2019,https://www.livrariart.com.br/a-criptografia-no-direito-brasileiro/p,
"Direito ao Esquecimento: entre a liberdade de expressão, a privacidade e a proteção de dados pessoais",,,,,,Book not Found
Contrato de Pesquisa Clínica,9788553219582,,292,2019,https://www.livrariart.com.br/contrato-de-pesquisa-clinica/p,
,,,,,,
,,,,,,
Desapropriação – Decreto-Lei 3.365/1941 e Lei 4.132/1962,9788553219452,,314,2019,https://www.livrariart.com.br/colecao-solucoes-em-direito-administrativo-leis-comentadas-volume-3-desapropriacao-2-edicao/p,
Servidores Públicos – Lei 8.112/1990,9788553219469,,373,2019,https://www.livrariart.com.br/colecao-solucoes-em-direito-administrativo-leis-comentadas-volume-4-servidores-publicos-1-edicao/p,
Improbidade Administrativa - Lei 8.429/1992 ,9788553219476,,130,2019,https://www.livrariart.com.br/colecao-solucoes-em-direito-administrativo-leis-comentadas-volume-5-improbidade-administrativa-2-edicao/p,
Processo Administrativo - Lei 9.784/1999,9788553219483,,249,2019,https://www.livrariart.com.br/colecao-solucoes-em-direito-administrativo-leis-comentadas-volume-7-processo-administrativo-1-edicao/p,
Organizações Sociais - Lei 9.637/1998,9788553219490,,275,2019,https://www.livrariart.com.br/colecao-solucoes-em-direito-administrativo-leis-comentadas-volume-6-organizacoes-sociais-2-edicao/p,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Jurisdição Adequada para os Processos Coletivos Transnacionais,9786550651725,29/02/2020,300,2020,https://www.livrariart.com.br/jurisdicao-adequada-para-os-processos-coletivos-transnacionais-9786550651725/p,
Direito Internacional Privado,9786550652760,,496,2020,https://www.livrariart.com.br/direito-internacional-privado-9-edicao-9786550652760/p,
,,,,,,
Regulamento do Imposto de Renda: RIR 2020 anotado e comentado,,,,,,Book not Found
Mandado de Segurança Individual e Coletivo: comentários à Lei 12.016/2009,,,,,,Book not Found
,,,,,,
Direito ao Recurso no Processo Penal ,9786550653668,27/05/2020,400,2020,https://www.livrariart.com.br/direito-ao-recurso-no-processo-penal-2-edicao/p,
,,,,,,
Curso de Processo Civil Coletivo ,9786559910823,6/28/22,"528, 528",2022,https://www.livrariart.com.br/curso-de-processo-civil-coletivo-9786559910823/p,
,,,,,,
Processo Constitucional Brasileiro,9786559918157,28/08/21,1650,2021,https://www.livrariart.com.br/processo-constitucional-brasileiro-5-edicao-9786559918157/p,
Constituição Tributária Comentada,9786559917082,44497,428,2021,https://www.livrariart.com.br/constituicao-tributaria-comentada-edicao2-9786559917082/p,
,,,,,,
,,,,,,
"Crimes Contra o Sistema Financeiro Nacional: comentários à lei 7.492, de 16.6.86",,,,,,Book not Found
O que muda com a Reforma da Previdência: regime geral e regime próprio dos servidores,,,,,,Book not Found
Reforma da Previdência Social: comparativo e comentários à emenda constitucional nº 103/2019,,,,,,Book not Found
A Autorização no Direito Privado,9786550650698,,250,2020,https://www.livrariart.com.br/a-autorizacao-no-direito-privado/p,
Provas Negociadas: convenções processuais probatórias no processo civil,9786550654078,27/05/2020,300,2020,https://www.livrariart.com.br/e-book-provas-negociadas-convencoes-processuais-probatorias-no-processo-civil/p,
Manual da Nova Reforma Trabalhista: teoria e prática da medida provisória nº 905/2019,,,,,,Book not Found
,,,,,,
Filhos para Cura: bebê medicamento como sujeito de direito,,,,,,Book not Found
Securitização de Recebíveis: elementos constitutivos no direito brasileiro,,,,,,Book not Found
,,,,,,
,,,,,,
Introdução à Previdência Complementar,9786556142104,28/09/2020,192,2020,https://www.livrariart.com.br/introducao-a-previdencia-complementar-volume-2/p,
Comentários ao Pacote Anticrime,9786550651404,26/03/2020,250,2020,https://www.livrariart.com.br/comentarios-ao-pacote-anticrime-lei-13-964-2019-9786550651404/p,
Direito Exponencial: como as novas tecnologias redefinirão o jurídico do futuro,,,,,,Book not Found
,,,,,,
"Direito, Processo e Tecnologia",9786556149110,28/10/2021,784,2021,https://www.livrariart.com.br/direito-processo-e-tecnologia-edicao-2-9786556149110/p,
Sandbox: experimentalismo no direito exponencial,,,,,,Book not Found
,,,,,,
"Novas Tecnologias, Plataformas Digitais e Direito do Trabalho: uma comparação entre Itália, Espanha e Brasil",,,,,,Book not Found
Regulação de Meios de Pagamento,9786550654122,28/07/2020,144,2020,https://www.livrariart.com.br/e-book-regulacao-de-meios-de-pagamento/p,
"Foro por prerrogativa de função no processo penal: investigação, processo e duplo grau de jurisdição",,,,,,Book not Found
"A Impugnação Especificada dos Fatos no Processo Civil: retórica, história, dogmática",,,,,,Book not Found
,,,,,,
,,,,,,
Fake News e Regulação,9786556147529,03/12/21,448,2021,https://www.livrariart.com.br/fake-news-e-regulacao-3-edicao-9786556147529/p,
,,,,,,
"Inteligência Artificial e Direito: ética, regulação e responsabilidade",,,,,,Book not Found
Código de Processo Penal Comentado,9786559918508,28/08/21,1750,2021,https://www.livrariart.com.br/codigo-de-processo-penal-comentado-9786559918508/p,
Processo de Execução e Cumprimento da Sentença: temas controversos,,,,,,Book not Found
Técnica da Interpretação Jurídica: breviário para juristas,,,,,,Book not Found
A Lei de liberdade econômica: uma análise material e processual da Lei nº 13.874/2019,,,,,,Book not Found
"Comentários à Lei de Abuso de Autoridade: Lei nº 13.869, de 5 de setembro de 2019",,,,,,Book not Found
"Cárcere e Trabalho: um diálogo entre a sociologia do trabalho, o sistema de penas e a execução penal",,,,,,Book not Found
Precedentes no Processo do Trabalho: teoria geral e aspectos controvertidos,,,,,,Book not Found
Arbitragem e Poder Judiciário: proposta para um diálogo,,,,,,Book not Found
Incentivos Processuais: economia comportamental e nudges no processo civil,,,,,,Book not Found
O Terceiro de Boa-Fé ,9786550654191,27/05/2020,288,2020,https://www.livrariart.com.br/e-book-o-terceiro-de-boa-fe-protecao-na-aquisicao-de-bens-moveis-e-imoveis/p,
,,,,,,
,,,,,,
Modulação: na alteração da jurisprudência firme ou de precedentes vinculantes,,,,,,Book not Found
Consórcios Públicos ,9786550653644,28/09/2020,306,2020,https://www.livrariart.com.br/consorcios-publicos-3-edicao/p,
Direito Penal: parte especial: arts. 121 a 154-B,,,,,,Book not Found
História do Registro de Imóveis,9786559912469,4/28/22,292,2022,https://www.livrariart.com.br/historia-do-registro-de-imoveis-colecao-direito-imobiliario-vol-1/p,
Princípios do Registro de Imóveis Brasileiro ,9786559912445,4/28/22,368,2022,https://www.livrariart.com.br/principios-do-registro-de-imoveis-brasileiro-colecao-direito-imobiliario-vol-2/p,
,,,,,,
Registro de Imóveis e Parcelamento do Solo ,9786559912407,4/28/22,296,2022,https://www.livrariart.com.br/registro-de-imoveis-e-parcelamento-do-solo-colecao-direito-imobiliario-vol-4/p,
,,,,,,
Condomínio e Incorporação Imobiliária ,9786559912384,4/28/22,468,2022,https://www.livrariart.com.br/condominio-e-incorporacao-imobiliaria-colecao-direito-imobiliario-vol-7/p,
Retificações no Registro de Imóveis ,9786559912353,4/28/22,336,2022,https://www.livrariart.com.br/retificacoes-no-registro-de-imoveis-colecao-direito-imobiliario-vol-9/p,
Direito à Saúde,9786556142326,28/09/2020,546,2020,https://www.livrariart.com.br/direito-a-saude/p,
,,,,,,
,,,,,,
Data Protection Officer (Encarregado) ,9786559916498,28/11/21,576,2021,https://www.livrariart.com.br/data-protection-officer-encarregado-2-edicao-9786559916498/p,
,,,,,,
Tutela da Evidência,9786550654382,30/06/2020,380,2020,https://www.livrariart.com.br/tutela-da-evidencia-probabilidade-defesa-fragil-e-o-dever-de-antecipar-a-tempo/p,
,,,,,,
,,,,,,
,,,,,,
Franchising ,,,,,,Book not Found
,,,,,,
Teoria da Improbidade Administrativa,9786556142227,28/09/2020,448,2020,https://www.livrariart.com.br/teoria-da-improbidade-administrativa-5-edicao/p,
"Direito do Trabalho, Tecnologia, Fraternidade e OIT ",,,,,,Book not Found
,,,,,,
Fashion Law,9786550654375,30/06/2020,436,2020,https://www.livrariart.com.br/fashion-law/p,
Manual de Direito Processual Civil ,9786556149219,28/08/21,1935,2021,https://www.livrariart.com.br/manual-de-direito-processual-civil-20-edicao-9786556149219/p,
,,,,,,
,,,,,,
Provas ,9786559917860,28/09/21,304,2021,https://www.livrariart.com.br/provas-9786559917860/p,
LGPD - Lei Geral de Proteção de Dados Pessoais Comentada ,9786559912483,4/28/22,474,2022,https://www.livrariart.com.br/lgpd-lei-geral-de-protecao-de-dados-pessoais-comentada/p,
,,,,,,
Notas Introdutórias sobre a Repercussão da Covid-19 no Direito Brasileiro,,,,,,Book not Found
,,,,,,
,,,,,,
Responsabilidade Civil do Médico ,9786559917945,28/09/21,424,2021,https://www.livrariart.com.br/responsabilidade-civil-do-medico-9786559917945/p,
,,,,,,
,,,,,,
Direito Processual Tributário Brasileiro,9786559916832,28/10/2021,976,2021,https://www.livrariart.com.br/direito-processual-tributario-brasileiro-edicao-14-9786559916832/p,
,,,,,,
Curso de Processo Penal ,9786559914555,28/01/2022,1696,2022,https://www.livrariart.com.br/curso-de-processo-penal-8-edicao-9786559914555/p,
Jurisdição Constitucional em Perspectiva,9786556141398,28/08/2020,336,2020,https://www.livrariart.com.br/jurisdicao-constitucional-em-perspectiva/p,
Constituição Federal Comentada ,9786559914616,28/01/2022,944,2022,https://www.livrariart.com.br/constituicao-federal-comentada-7-edicao-9786559914616/p,
Curso de Direito Processual Civil Moderno ,9786559913701,2/28/22,1422,2022,https://www.livrariart.com.br/curso-de-direito-processual-civil-moderno-7-edicao-9786559913701/p,
