Nome Pesquisado,ISBN,Data de Disponibilização,Número de páginas,Ano de publicação
,,,,
"Direito do Trabalho, Tecnologia, Fraternidade e OIT ",,,,
Processo de Execução e Cumprimento de Sentença: temas atuais e controvertidos,9786559912940,3/28/22,992,2022
Estudos Sobre Privacidade e Proteção de Dados,9786559918492,28/08/21,678,2021
Lei de Licitações e Contratos Administrativos Comentada Lei 14.133/21,9786556147550,28/10/2021,850,2021
Lavagem de Dinheiro,9786559918980,30/09/2021,450,2021
Direito do Trabalho Aplicado: direito individual do trabalho,,,,
Direito do Trabalho Aplicado: processo do trabalho,9786559917785,07/10/21,1024,2021
Sócios: direitos e deveres nas principais sociedades e empresas brasileiras,,,,
Convenção Processual Sobre Norma Aplicável ao Mérito,9786559916856,28/10/2021,252,2021
A Constitucionalização do Processo,9786559916870,28/10/2021,492,2021
Cooperação Internacional no Processo Penal: a transferência de processos,9786559916177,28/11/21,432,2021
,,,,
Trabalhista Desportivo sob curadoria de Danilo Uler Corregliano,9786556140278,26/06/2020,264,2020
Atualidades jurídicas sob curadoria de Gilberto Gomes Bruschi,9786559912575,3/28/22,992,2022
Instituições de Direito Civil: parte geral do Código Civil e direitos da personalidade,9786559913060,3/28/22,912,2022
Revista de Direito do Trabalho - 02/2018,9786556140278,26/06/2020,264,2020
Revista de Direito do Trabalho - 03/2018,9786556140278,26/06/2020,264,2020
Revista de Direito do Trabalho - 04/2018,9786556140278,26/06/2020,264,2020
Revista de Direito do Trabalho - 05/2018,9786556140278,26/06/2020,264,2020
Revista de Direito do Trabalho - 06/2018,9786556140278,26/06/2020,264,2020
Revista de Direito do Trabalho - 07/2018,9786556140278,26/06/2020,264,2020
Revista de Direito do Trabalho - 08/2018,9786556140278,26/06/2020,264,2020
Revista de Direito do Trabalho - 09/2018,9786556140278,26/06/2020,264,2020
Revista de Direito do Trabalho - 10/2018,9786556140278,26/06/2020,264,2020
Revista de Direito do Trabalho - 11/2018,9786556140278,26/06/2020,264,2020
Revista de Direito do Trabalho - 12/2018,9786556140278,26/06/2020,264,2020
Revista de Direito do Trabalho - 01/2019,9786556140278,26/06/2020,264,2020
Revista de Direito do Trabalho - 02/2019,9786556140278,26/06/2020,264,2020
Revista de Direito do Trabalho - 03/2019,9786556140278,26/06/2020,264,2020
Revista de Direito do Trabalho - 04/2019,9786556140278,26/06/2020,264,2020
Revista de Direito do Trabalho - 06/2019,9786556140278,26/06/2020,264,2020
Revista de Direito do Trabalho - 07/2019,9786556140278,26/06/2020,264,2020
Revista de Direito do Trabalho - 08/2019,9786556140278,26/06/2020,264,2020
Revista de Direito do Trabalho - 09/2019,9786556140278,26/06/2020,264,2020
Revista de Direito do Trabalho - 10/2019,9786556140278,26/06/2020,264,2020
Revista de Direito do Trabalho - 11/2019,9786556140278,26/06/2020,264,2020
Revista de Direito do Trabalho - 12/2019,9786556140278,26/06/2020,264,2020
Revista de Direito do Trabalho - 01/2020,9786556140278,26/06/2020,264,2020
Revista de Direito do Trabalho - 04/2020,9786556140278,26/06/2020,264,2020
Revista de Direito do Trabalho - 06/2020,9786556140278,26/06/2020,264,2020
Revista de Direito do Trabalho - 08/2020,9786556140278,26/06/2020,264,2020
Revista de Direito do Trabalho - 10/2020,9786556140278,26/06/2020,264,2020
Revista de Direito do Trabalho - 12/2020,9786556140278,26/06/2020,264,2020
Revista de Direito do Trabalho,9786550653293,30/06/2020,288,
,,,,
Revista de Processo,,28/05/2021,,2021
Ação Rescisória,9786559918997,04/08/2021,285,2021
"25 Anos da Lei de Arbitragem (1996-2021): história, legislação, doutrina e jurisprudência",9786559915392,12/28/21,736,2021
Compliance e Políticas de Proteção de Dados,9786559915408,28/12/21,1264,2021
"Gestão Pública, Infraestrutura e Desenvolvimento",9786559915361,12/28/21,304,2021
,,,,
"Comentários à Nova Lei de Improbidade Administrativa: Lei 8.249/1992, com as alterações da Lei 14.230/2021",9786556144283,28/04/2021,568,2021
Conceito Jurídico de Pessoa,9786559915347,12/28/21,258,2021
"Tributação da Impressão 3D: blueprint, software e impressora 3D",9786559915378,12/28/21,384,2021
Teses jurídicas dos tribunais superiores: direito ambiental I,,,,
Teses jurídicas dos tribunais superiores: direito administrativo I,,,,
Teses jurídicas dos tribunais superiores: direito administrativo III,,,,
Teses jurídicas dos tribunais superiores: direito penal II,,,,
Teses jurídicas dos tribunais superiores: direito penal III,,,,
Teses jurídicas dos tribunais superiores: direito processual civil I,,,,2017
Teses jurídicas dos tribunais superiores: direito tributário I,,,,
Teses jurídicas dos tribunais superiores: direito tributário II,,,,
Teses jurídicas dos tribunais superiores: direito processual penal I,,,,
Teses jurídicas dos tribunais superiores: direito processual penal II,,,,
Teses jurídicas dos tribunais superiores: direito constitucional I,,,,
Teses jurídicas dos tribunais superiores: direito constitucional II,,,,
Multidisciplinar sob a curadoria de Editorial RT,,,,
Abuso de autoridade: Lei 13.869/2019 comentada artigo por artigo,9786556144283,28/04/2021,568,2021
Curso de Processo Civil: tutela dos direitos mediante procedimento diferenciados,,28/05/2021,,2021
Direito Civil,9786559914593,28/01/2022,1552,2022
Supremo 4.0: constituição e tecnologia em pauta,9786556149080,28/01/2022,400,2022
Teses jurídicas dos tribunais superiores: Direito Administrativo II,,,,
Teses jurídicas dos tribunais superiores: Índice Geral,9786556144283,28/04/2021,568,2021
