Nome Pesquisado,ISBN,Data de Disponibilização,Número de páginas,Ano de publicação
Antecipação da Tutela,,,208,01/01/2014
Manual de processo penal,,,400,01/01/2013
Aspectos Polêmicos dos Recursos Cíveis e Assuntos Afins,9788520373361,,2017,520
Direito do Consumidor: vulnerabilidade do consumidor e modelos de proteção,,,,
Direito do Consumidor: proteção da confiança e práticas comerciais,,,,
Direito do Consumidor: contratos de consumo,9788553219988,,300,2019
Direito do Consumidor: teoria de qualidade e danos,,,,
Direito do Consumidor: tutela das relações de consumo,9786559910403,6/28/22,"200, 200",2022
"Prequestionamento, Repercussão Geral da Questão Constitucional, Relevância da Questão Federal",9788520373170,,382,2017
Casos Criminais Célebres,9786556148373,23/03/2021,480,2021
Família e Sucessões: direito de família,9786550651008,,336,2020
Família e Sucessões: entidades familiares,9786550651008,,336,2020
Família e Sucessões: separações conjugais e divórcio,9786550651008,,336,2020
Família e Sucessões: relações de parentesco,9786550651008,,336,2020
Família e Sucessões: direito de família patrimonial,,,,
Família e Sucessões: direito das sucessões,9786550651008,,336,2020
Responsabilidade Civil na Incorporação Imobiliária,9786559916962,28/10/2021,428,2021
Recursos e Ações Autônomas de Impugnação,9786550653576,27/05/2020,592,2020
Leis Trabalhistas Comentadas,9788553211531,,400,2018
Processo Civil e Direitos Humanos,9788553216642,,448,2019
Prática e Estratégia - Recursos Cíveis,9786550652401,,,2019
Juiz Natural no Processo Penal,,,608,01/01/2014
"Jurisdição constitucional e o Código de Processo Civil: sincronia, racionalidade, interpretação e segurança jurídica",9788520371053,,300,2017
Curso de Arbitragem,9786559913114,3/28/22,628,2022
-,,,,
Embargos de Declaração: como se motiva uma decisão judicial?,9786556142920,29/10/2020,364,2020
Direito Privado e Desenvolvimento Econômico: estudos da Associação Luso-Alemã de Juristas (DLJV) e da Rede Alemanha-Brasil de Pesquisas em Direito do Consumidor,,,,
Fraudes Contra Credores,9786556144283,28/04/2021,568,2021
Do Contrato Social: Princípios de Direito Político,,,,
"Princípios do Processo na Constituição Federal: processo civil, penal e administrativo",,28/05/2021,,2021
Prática e Estratégia - Contratos Cíveis,9786556144283,28/04/2021,568,2021
Correlação entre Acusação e Sentença,9788553215911,,320,2019
Repercussão Geral no Recurso Extraordinário,9786550650148,,656,2019
Abuso do direito : ilicitude objetiva e limite ao exercício de prerrogativas jurídicas no direito privado,9786556144283,28/04/2021,568,2021
Responsabilidade Civil do Estado,9786559910816,6/28/22,"402, 402",2022
Direito administrativo: Fundamentos e princípios do direito administrativo,,,,
"Direito administrativo: Ato administrativo, bens públicos e intervenção administrativa na propriedade",,,,
"Direito administrativo: Controle da administração, processo administrativo e responsabilidade do Estado",,,,
Direito administrativo: Licitação e contratos administrativos,9786556144283,28/04/2021,568,2021
Direito administrativo: Serviços públicos e poder de polícia,,,,
Direito administrativo: Administração pública indireta e regulação,,28/11/2020,,
Direito administrativo: Agentes públicos e improbidade,9786559910007,5/28/22,424,2022
Curso de Direito Civil: parte geral,9786550650049,,400,2020
"Curso de Direito Civil: obrigações, responsabilidade civil",9786550650032,,416,2020
Curso de Direito Civil: contratos,9786550650988,,464,2020
"Curso de Direito Civil: direito das coisas, direito autoral",9786550650995,,400,2020
"Curso de Direito Civil: família, sucessões",9786550650001,,336,2020
Leis Civis e Processuais Civis Comentadas,9788553216130,,3000,2019
Manual dos Recursos,9786559912582,3/28/22,746,2022
"Novo CPC Aplicado na Visão de Nós, os Processualistas",9786556144283,28/04/2021,568,2021
Intervenção de terceiro por ordem do juiz: a intervenção Iussu Iudicis no processo civil,9788520371404,,2017,300
Cognição do juiz na execução civil,9788520373538,,2017,300
Novo Código de Processo Civil Comentado na Prática da Fazenda Nacional,9788520371497,,1400,2017
Fundamentos dos Negócios e Contratos Digitais,9786559916450,28/11/21,196,2021
Medida Provisória: Dogmas e Realidades,9788520370902,,2017,150
Prática e Estratégia - Direito do Consumidor,9788520374306,,2017,256
Código de Processo Civil: Comentado Artigo por Artigo,9786559913107,3/28/22,1240,2022
Jurisdição Constitucional e Decisão Jurídica,9788520371053,,300,2017
Prática e Estratégia - Responsabilidade Tributária,9788520371473,,2017,400
Audiências públicas,,,288,01/01/2008
Direito Administrativo Aplicado,,,704,01/01/2014
Prova e Verdade no Direito,9786550654078,27/05/2020,300,2020
Comentários ao Código de Processo Civil: artigos 976 ao 1.044,,28/05/2021,,2021
Comentários ao Código de Processo Civil: artigos 1.045 ao 1.072,,28/05/2021,,2021
Dos delitos e das penas,9788520372456,,464,2018
Coisa julgada inconstitucional: a retroatividade da decisão de (in)constitucionalidade do STF sobre a coisa julgada - a questão da relativização da coisa julgada,9786556144283,28/04/2021,568,2021
Compromisso de Ajustamento de Conduta Ambiental,9788520363034,,,2015
Por que Filosofia?,,,400,01/01/2014
"A intangibilidade da coisa julgada diante da decisão de inconstitucionalidade: art. 525, §§ 12, 13, 14 e 15, CPC/2015",9788520364802,,180,2016
Elementos da Análise Econômica do Direito de Danos,,,256,1012014
Contrato de Seguro de Vida,9786556144283,28/04/2021,568,2021
Ação Rescisória: do Juízo Rescindente ao Juízo rescisório,9788520373156,,400,2017
"Crise dos poderes da república: judiciário, legislativo e executivo",9786556144511,28/01/2021,348,2021
Fundamentos da Prova Civil,,,256,01/01/2011
O Controle Jurisdicional da Convencionalidade das Leis,9788520369319,,,2016
Ônus da Prova no Novo CPC: do estático ao dinâmico,9786556144283,28/04/2021,568,2021
Técnicas de Negociação para Advogados,9786556147253,28/04/2021,352,2021
Fundações governamentais,9786559910885,6/28/22,"588, 588",2022
Manual de Direito Civil: Família,9786556144399,26/02/2021,608,2021
Comentários ao Código de Processo Civil: artigos 1º ao 69,,28/05/2021,,2021
Comentários ao Código de Processo Civil: artigos 70 ao 187,,28/05/2021,,2021
Comentários ao Código de Processo Civil: artigos 188 ao 293,,28/05/2021,,2021
Comentários ao Código de Processo Civil: artigos 294 ao 333,,28/05/2021,,2021
Comentários ao Código de Processo Civil: artigos 334 ao 368,,28/05/2021,,2021
Comentários ao Código de Processo Civil: artigos 369 ao 380,,28/05/2021,,2021
Comentários ao Código de Processo Civil: Artigos 381 ao 484,,28/05/2021,,2021
Comentários ao Código de Processo Civil: artigos 485 ao 538,,28/05/2021,,2021
Comentários ao Código de Processo Civil: artigos 539 ao 673,,28/05/2021,,2021
Comentários ao Código de Processo Civil: artigos 674 ao 718,,28/05/2021,,2021
Comentários ao Código de Processo Civil: artigos 719 ao 770,,28/05/2021,,2021
Comentários ao Código de Processo Civil: artigos 771 ao 796,,28/05/2021,,2021
Comentários ao Código de Processo Civil: artigos 797 ao 823,,28/05/2021,,2021
Comentários ao Código de Processo Civil: artigos 824 ao 925,,28/05/2021,,2021
Poderes instrutórios do juiz,,,256,01/01/2011
Comentários ao Código de Processo Civil: artigos 926 ao 975,,28/05/2021,,2021
Curso de Direito do Trabalho Aplicado - Parte Geral,9786559917785,07/10/21,1024,2021
Curso de direito do trabalho aplicado: jornadas e pausas,,,,
Curso de Direito do Trabalho Aplicado - Livro das profissões Regulamentadas,9786559917808,07/10/21,560,2021
Curso de Direito do Trabalho Aplicado - Livro da Remuneração,9786559917815,07/10/21,1072,2021
Curso de Direito do Trabalho Aplicado - Contrato de Trabalho,9786559917983,07/10/21,1072,2021
Curso de Direito do Trabalho Aplicado - Direito Coletivo do Trabalho,9786556140278,26/06/2020,264,2020
Curso de direito de trabalho aplicado - Justiça do trabalho,9786559917785,07/10/21,1024,2021
Curso de Direito do Trabalho Aplicado - Processo do Trabalho,9786559917785,07/10/21,1024,2021
Curso de Direito do Trabalho Aplicado - Execução Trabalhista,,30/09/21,,2021
Código de Processo Civil Comentado: com remissões e notas comparativas ao CPC/1973,,28/05/2021,,2021
Cortes Superiores e Cortes Supremas: do controle à interpretação da jurisprudência ao precedente,9786556142654,28/09/2020,144,2020
Estatuto da Cidade,,,304,1012014
A Família e a Questão Patrimonial,,,384,2015
Coisa Julgada e Precedente: limites temporais e as relações jurídicas de trato continuado,9786559916580,,146,2021
Precedentes da Persuasão à Vinculação,9788520370674,,2017,2017
A Motivação das Decisões Penais,9786559912551,3/28/22,746,2022
Ação Popular,9786559911073,5/28/22,300,2022
Manual de Direito Civil: Obrigações,9788553213467,,1008,2019
Pronto para Partir? Reflexões Jurídico-Filosóficas Sobre a Morte,,,256,01/01/2014
Precedentes Jurisprudenciais: direito bancário e direito tributário,,,,
O Novo Direito do Trabalho: institutos fundamentais - impactos da reforma,,,,
Impactos da Reforma Trabalhista na Jurisprudência do TST,9788520374092,,224,2017
"Precedentes jurisprudenciais: direito do consumidor, direito do trabalho e previdenciário",,,,
Negociação e Teoria dos Jogos,9788520373712,,300,2018
"Royalties do Petróleo, Minério e Energia: aspectos constitucionais, financeiros e tributários",9788553219247,,209,2019
Marco Civil da Internet: jurisprudência comentada,,28/05/2021,,2021
Precedentes Jurisprudenciais: Direito Contratual,,,,
Precedentes Jurisprudenciais: Responsabilidade Civil,,28/05/2021,,2021
Contrato de Transporte,,,224,01/01/2014
Intervenção de Terceiros,9786556146942,28/04/2021,270,2021
O Tratamento do Superendividamento e o Direito de Recomeçar dos Consumidores,,,,
Arrematação no Registro de Imóveis: continuidade do registro e natureza da aquisição,9786556144283,28/04/2021,568,2021
Lei de Recuperação de Empresas e Falência: Lei 11.101/2005: Comentada Artigo por Artigo,9786526009970,7/28/22,728,2022
"Direito Fundamental à Saúde: regime jurídico, políticas públicas e controle judicial",,,,
Embargos de Declaração e Omissão do Juiz,,28/05/2021,,2021
Prova Pericial e seu Controle no Direito Processual Brasileiro,9786556144283,28/04/2021,568,2021
Precedentes Vinculantes e a Aplicação do Direito Brasileiro na Convenção de Arbitragem,9788520371626,,2017,119
A prova do nexo de causalidade na responsabilidade civil,,,192,2016
Legislação Previdenciária Anotada,9786556140278,26/06/2020,264,2020
Justificação da decisão judicial: a elaboração da motivação e a formação de precedente,9786556147215,28/04/2021,330,2021
Antecipação da tutela: da tutela cautelar à técnica antecipatória,9788553218851,,224,2019
Direito Constitucional Brasileiro: teoria da constituição e direitos fundamentais,9786559916795,28/10/2021,1568,2021
Direito constitucional brasileiro: organização do Estado e dos poderes,9786559916801,28/10/2021,1136,2021
Direito Constitucional Brasileiro: constituições econômica e social,9786559916788,28/10/2021,592,2021
Ação Civil Pública após 30 Anos,9786556141152,28/09/2020,1000,2020
Processo Civil Moderno: Processo de Execução e Cumprimento de Sentença,,28/05/2021,,2021
"Procedimentos Cautelares e Especiais: ações coletivas, ações constitucionais, jurisdição voluntária, antecipação dos efeitos da tutela e Juizados Especiais Cíveis, Federais e da Fazenda Pública",,28/05/2021,,2021
Manual de Direito Civil: Introdução - Parte Geral,,28/05/2021,,2021
O Novo Direito Privado e a Proteção dos Vulneráveis,,,,
Compreender Direito: Desvelando as Obviedades do Discurso Jurídico,,,,
Código Civil Comentado,9786559913107,3/28/22,1240,2022
Tutela contra o ilícito: inibitória e de remoção,9786556144283,28/04/2021,568,2021
Constituição Federal Comentada e Legislação Constitucional,9786556140278,26/06/2020,264,2020
Associações sem Fins Econômicos,9786550654221,30/06/2020,780,2020
Agências Reguladoras no Direito Brasileiro,9786556143484,28/11/2020,288,2020
Código Civil Comentado,9786559913107,3/28/22,1240,2022
Iura Novit Curia e Causa de Pedir: o juiz e a qualificação jurídica dos fatos no Processo Civil Brasileiro,,28/05/2021,,2021
Superendividamento do consumidor: mínimo existencial - casos concretos,9788520365687,,,2015
Direito Urbanístico: Plano Diretor e Direito de Propriedade,,,,
Compreender Direito: como o senso comum pode nos enganar,,,,
A Reparação nos Acidentes de Trânsito,9786556145518,28/05/2021,176,2021
Contratos e Procedimentos Bancários à Luz do Código de Defesa do Consumidor,,,704,01/01/2014
Comércio Eletrônico,9788553213825,,,2015
Promessa de compra e venda e parcelamento do solo urbano: Lei 6.766/79 e 9.785/99,9786556144283,28/04/2021,568,2021
Direito civil: curso completo,9786559913077,3/28/22,1928,2022
Comentários à Lei de Improbidade Administrativa: Lei 8.249 de 02 de junho de 1992,9786556144283,28/04/2021,568,2021
Direito Tributário: teoria e prática,9786559912452,4/28/22,952,2022
25 anos do Código de Defesa do Consumidor: trajetória e perspectivas,,28/05/2021,,2021
Reclamação Constitucional e Precedentes Judiciais,9788520368305,,,2016
Código Penal Militar Comentado,,28/05/2021,,2021
Contratos de crédito bancário,,,704,01/01/2014
Instituições de Direito Civil - Teoria Geral do Direito Privado,,28/05/2021,,2021
A Tutela Coletiva de Interesses Individuais,,,432,2015
Cortes Superiores e Cortes Supremas: do controle à interpretação da jurisprudência ao precedente,9786556142333,28/09/2020,144,2020
"Direitos Individuais Homogêneos: pressupostos, fundamentos e aplicação no processo civil",,28/05/2021,,2021
Um panorama da teoria da imputação objetiva,,28/05/2021,,2021
Curso de direito agrário,,,,
Instituições de Direito Civil - Parte Geral,9786559913060,3/28/22,912,2022
Instituições de Direito Civil - Direito das Obrigações,9786559913022,3/28/22,1136,2022
Instituições de Direito Civil -  Direitos Patrimoniais e Reais,9786559913039,3/28/22,864,2022
Instituições de direito civil: contratos,9786559913022,3/28/22,1136,2022
Legitimidade dos Precedentes: universabilidade das decisões do STJ,9788553214686,,176,2014
Teoria Geral dos Contratos,9786559910342,7/28/22,354,2022
Instituições de Direito Civil: família,9786559913046,3/28/22,1008,2022
Instituições de Direito Civil: Teoria Geral do Direito de Sucessões – Processo Judicial e Extrajudicial de Inventário,,28/05/2021,,2021
Instituições de Direito Civil: direitos da personalidade (direito de humanidade),,28/05/2021,,2021
"Instituições de Direito Civil: registros, notas e prova documental",,28/05/2021,,2021
Direito Bancário,9788553216109,,688,2019
Novo Contencioso Cível no CPC/2015,9788520369364,,600,2016
O princípio da sustentabilidade: transformando direito e governança,,,,
Gestão de Escritórios de Advocacia,9786556142098,28/09/2020,512,2020
Legislação Penal Especial,9788520359303,,,2014
Compreender Direito: nas brechas da lei,9788520362631,,,2015
Direito Constitucional Financeiro: teoria da constituição financeira,9786559912452,4/28/22,952,2022
Soluções Práticas de Direito: direito constitucional e direito regulatório,9788520355497,,688,2014
"Soluções Práticas de Direito: direito administrativo, processo administrativo e direito securitário",,28/05/2021,,2021
"Soluções Práticas de Direito: direito bancário, direito internacional, propriedade industrial, direito tributário",,,,
"Soluções Práticas de Direito: direito do consumidor, direito falimentar e direito societário",,,,
Soluções Práticas de Direito: arbitragem e processo coletivo,,28/05/2021,,2021
Soluções Práticas de Direito - Direito Civil: parte geral e responsabilidade civil,,28/05/2021,,2021
"Soluções Práticas de Direito: contratos e obrigações, direitos reais e direito das sucessões",9786556144283,28/04/2021,568,2021
Soluções Práticas de Direito - Processo Civil: processo de conhecimento,,28/05/2021,,2021
"Soluções Práticas de Direito - Processo Civil: coisa julgada, ação rescisória, liquidação e execução",,28/05/2021,,2021
Soluções Práticas de Direito - Processo Civil: recursos,,28/05/2021,,2021
Direito Internacional Público: Parte Geral,9786559916238,12/7/21,1104,2021
Comentários às Alterações do Novo CPC,,28/05/2021,,2021
Infrações e Sanções em Licitações e Contratos Administrativos: com as alterações da Lei anticorrupção,9786556144283,28/04/2021,568,2021
Direito dos Seguros - Fundamentos de Direito Civil: direito empresarial e direito do consumidor,,,,
"Colaboração no Processo Civil. Pressupostos sociais, lógicos e éticos",,28/05/2021,,2021
Discricionariedade Administrativa e Judicial: o ato administrativo e a decisão judicial,9786559910854,6/28/22,"750, 750",2022
Igualdade e Processo: posições processuais equilibradas e unidade do direito,,28/05/2021,,2021
Ética Ambiental,9788553215133,,,2015
A Rebelião da Toga,,,384,2015
Incidente de Resolução de Demandas Repetitivas (IRDR),9788553215164,,,2016
Incidente de Resolução de Demandas Repetitivas: a luta contra a dispersão jurisprudencial excessiva,9786556144283,28/04/2021,568,2021
Preclusão Processual Civil: estática e dinâmica,,,256,2015
Arbitragem Societária,9788520363829,,248,01/01/2015
Fundamentação das Decisões Judiciais: a crise na construção de respostas no processo civil,,28/05/2021,,2021
Sentença no Novo CPC,,,192,01/01/2015
"Responsabilidade executiva secundária: A execução em face do sócio, do cônjuge, do fiador e afins",9788520366233,,272,2015
Controle da Atividade do Árbitro,9786559919017,04/08/2021,550,2021
Comentários à Lei Anticorrupção: Lei 12.846/2013,,,306,2015
Execução Fiscal à Luz da Jurisprudência: Lei 6.830/1980 comentada artigo por artigo,9786556144283,28/04/2021,568,2021
Acesso à justiça: condicionantes legítimas e ilegítimas,,28/05/2021,,2021
Sistema de garantias e o direito penal juvenil,,,,
Direito Constitucional: ações constitucionais,9786559916511,28/11/21,1360,2021
Direito constitucional: controle de constitucionalidade,9786559915323,28/01/2022,376,2022
Direito Processual Civil: recursos,9786559916320,7/12/21,1104,2021
Direito Processual Civil: Execução,9786556145426,28/05/2021,316,2021
Direito processual civil: ações coletivas,,,464,01/01/2014
Direito Civil: obrigações,9786559913022,3/28/22,1136,2022
Direito civil: contratos,9786559913022,3/28/22,1136,2022
Direito Civil: direitos reais,9786559913039,3/28/22,864,2022
Direito civil: família e sucessões,9786550650001,,336,2020
Direito Processual Tributário: Processo Judicial Tributário,9786559916832,28/10/2021,976,2021
Direito Processual Tributário: processo tributário,9788553216819,,544,2019
Direito empresarial: títulos de crédito e contratos empresariais,9786556144283,28/04/2021,568,2021
Direito empresarial: recuperação de empresas e falência,9786556145853,28/05/2021,544,2021
Direito do consumidor: princípios gerais e defesa do consumidor em juízo,,,,
Direito do consumidor: defesa do consumidor em juízo e sanções administrativas,,,,
A vulnerabilidade dos consumidores no comércio eletrônico: a reconstrução da confiança na atualização do código de defesa do consumidor,9786556144283,28/04/2021,568,2021
Considerações Sobre a Lei Anticorrupção das Pessoas Jurídicas,,,416,01/01/2014
Comentários à Lei 12.846/2013: Lei anticorrupção,,,306,2015
Curso de Direito Internacional Público,9786559918515,07/09/2021,222,2021
Fraudes patrimoniais e a desconsideração da personalidade jurídica no Código de Processo Civil de 2015,,28/05/2021,,2021
Comentários ao Código de Processo Civil,,28/05/2021,,2021
Direito processual civil moderno,9786559913701,2/28/22,1422,2022
"Processo Civil, Cultura e Proporcionalidade: análise crítica da teoria processual",9788520371190,,160,2017
Legitimação Democrática do Poder Judiciário no Novo Código de Processo Civil,,28/05/2021,,2021
Curso de Arbitragem - Mediação - Conciliação - Resolução CNJ 125/2010,9786556140278,26/06/2020,264,2020
A Responsabilidade Patrimonial no Novo Sistema Processual Civil,9788520368527,,352,2016
Processo civil brasileiro: parte geral: fundamentos e distribuição de conflitos,9786559910236,7/28/22,1184,2022
Processo civil brasileiro: parte geral - institutos fundamentais,9786559910250,7/28/22,1660,2022
Processo civil brasileiro: parte especial: procedimento comum: (da demanda à coisa julgada),9786526009994,7/28/22,1436,2022
Sistema Brasileiro de Precedentes - Natureza - Eficácia - Operacionalidade,9788553215119,,,2016
Guarda compartilhada: um novo modelo de responsabilidade parental,9786556144283,28/04/2021,568,2021
Princípios do Processo na Constituição Federal,9788520371268,,464,2017
Incidente de Resolução de Demandas Repetitivas: decisão de questão idêntica x precedente,9788553219414,,288,2019
Processo Coletivo: Tutela de Direitos Coletivos e Tutela Coletiva de Direitos,,,432,2015
"Cortes Superiores e Cortes Supremas: do controle à interpretação, da jurisprudência ao precendente",9786556142333,28/09/2020,144,2020
Antecipação da tutela - Da Tutela Cautelar à Técnica Antecipatória,9788553218851,,224,2019
Novo Curso de Processo Civil: tutela dos direitos mediante procedimento comum,,28/05/2021,,2021
Novo Curso de Processo Civil: tutela dos direitos mediante procedimentos diferenciados,,28/05/2021,,2021
O Novo Processo Civil,9786556142364,28/10/2020,148,2020
Curso de Direito do Trabalho Aplicado: Parte Geral,9786559917785,07/10/21,1024,2021
Curso de Direito do Trabalho Aplicado: Saúde e Segurança do Trabalho,,,,
Curso de Direito do Trabalho Aplicado: livro da remuneração,9786559917815,07/10/21,1072,2021
Curso de Direito do Trabalho Aplicado: contrato de trabalho,9786559917983,07/10/21,1072,2021
Curso de Direito do Trabalho Aplicado: direito coletivo do trabalho,9786556140278,26/06/2020,264,2020
Curso de direito do trabalho aplicado: justiça do trabalho,9786559917785,07/10/21,1024,2021
Curso de direito do trabalho aplicado: processo do trabalho,9786559917785,07/10/21,1024,2021
Curso de direito do trabalho aplicado: execução trabalhista,,30/09/21,,2021
Curso de Direito Comercial: direito empresa,9786559919086,04/08/2021,560,2021
Curso de Direito Comercial: direito de empresa,9786559919086,04/08/2021,560,2021
Precedentes: da persuasão à vinculação,9788520370674,,2017,2017
Manual dos Recursos Penais,9786559912582,3/28/22,746,2022
Alterações no novo CPC: o que mudou?,9788554947828,,1600,2018
Jurisdição e Direito Privado: estudos em homenagem aos 20 anos da Ministra Nancy Andrighi no STJ,9786556144283,28/04/2021,568,2021
A Lealdade Processual na Prestação Jurisdicional: Em Busca de Um Modelo de Juiz Leal,9788520373699,,300,2017
Contratos built to suit: aspectos controvertidos decorrentes de uma nova modalidade contratual,9786556144283,28/04/2021,568,2021
Constituição Federal Comentada,9786556148281,6/28/22,,
"ISS: teoria, prática e jurisprudência",,,,
Código de processo civil comentado,9786559915415,28/01/2022,2352,2022
"Ato administrativo, consequencialismo e compliance: Gestão de Riscos, Proteção de Dados e Soluções para o Controle Judicial na Era da IA",9786556144283,28/04/2021,568,2021
Tratado de Direito Empresarial: empresa individual de responsabilidade limitada e sociedades de pessoas,,,,
Tratado de Direito Empresarial: Sociedades Anônimas,9788553211210,,1248,2018
Tratado de Direito Empresarial: contratos mercantis,9788553211227,,496,2018
Tratado de Direito Empresarial: mercado de capitais,9788553211241,,752,2018
Tratado de Direito Empresarial: direito concorrencial,9788553211258,,1864,2018
Regularização Fundiária - Lei 13.465/2017,9788554947019,,300,2018
Comentários à Lei de Falência e Recuperação Judicial,9786556145853,28/05/2021,544,2021
Curso de Arbitragem,9786559913114,3/28/22,628,2022
Tutela de Urgência e Tutela da Evidência,9786559917891,28/09/21,380,2021
Conceitos Médico-Legais para Indenização do Dano Corporal,9788554947408,,290,2018
Doutrinas Essenciais - Novo Processo Civil - Teoria Geral do Processo I,,28/05/2021,,2021
Doutrinas Essenciais - Novo Processo Civil - Teoria Geral do Processo II,,28/05/2021,,2021
Doutrinas Essenciais – Novo Processo Civil - Tutela Provisória,,28/05/2021,,2021
Doutrinas Essenciais - Novo Processo Civil - Processo de Conhecimento,,28/05/2021,,2021
Doutrinas Essenciais - Novo Processo Civil - Sentença e Coisa Julgada,,28/05/2021,,2021
Doutrinas Essenciais - Novo Processo Civil - Precedentes - Execução - Procedimentos especiais,,28/05/2021,,2021
Doutrinas Essenciais - Novo Processo Civil - Processos nos tribunais e meios de impugnação das decisões judiciais,,28/05/2021,,2021
Manual de Direito do Consumidor,9786556144399,26/02/2021,608,2021
Direito Digital Aplicado 3.0,9786556149097,4/28/22,336,2022
Recurso Extraordinário e Recurso Especial,9786556149240,28/04/2021,368,2021
Da Cleptocracia para a Democracia em 2019,9788553212408,,685,2018
Processo Administrativo: Lei 9.784/1999 comentada,9788553219483,,249,2019
Interesses Difusos: conceito e legitimação para agir,9786556144283,28/04/2021,568,2021
Ação Civil Pública,9788553213672,,864,2019
"Código Tributário Nacional Comentado: doutrina e jurisprudência, artigo por artigo",,28/05/2021,,2021
Curso de economia: introdução ao direito econômico,,,,
"Reforma Política e Eleições: retrospecto, diagnóstico e alternativas para o Brasil",9788554947781,,160,2018
"Desastres Ambientais e sua Regulação Jurídica: deveres de prevenção, resposta e compensação ambiental",9786550652814,28/04/2020,240,2020
Fundamentos principiológicos do Processo Civil,9788553210572,,800,2018
Contratos no Código de Defesa do Consumidor,9788553214273,,1616,2019
Lei antitruste sistematizada: jurisprudência na visão do CADE,9786556144283,28/04/2021,568,2021
Lei de Recuperação de Empresas e Falência - Lei 11.101/2005: comentada artigo por artigo,9786526009970,7/28/22,728,2022
Enriquecimento Sem Causa: as obrigações restitutórias no Direito Civil,9788553210947,,330,2018
Corrupção e Improbidade Administrativa: cenários de risco e a responsabilização dos agentes públicos municipais,9786556144283,28/04/2021,568,2021
"Lavagem de Dinheiro - Aspectos penais e processuais penais: comentários à Lei 9.613/1998, com alterações da Lei 12.683/2012",9786556144283,28/04/2021,568,2021
Marketing Jurídico na Prática,9786556144429,28/01/2021,264,2021
Conteúdo Extra Proview - Marketing Jurídico na Prática - (Em Breve),,,,
Dano Moral no Direito do Consumidor,9788553212996,,270,2019
Recuperação de Crédito,9786556148243,28/03/2021,620,2021
Responsabilidade Civil do Médico,9786559917945,28/09/21,424,2021
Responsabilidade Civil dos Hospitais: Código Civil e Código de Defesa do Consumidor,,,,
Fake News,9786559910441,6/28/22,464,2022
Cartel: responsabilidade civil concorrencial,9786559918959,04/08/2021,299,2021
Alimentos,9786550651800,29/02/2020,656,2020
CPC em Foco,9788553212040,,800,2018
Contraponto jurídico: posicionamentos divergentes sobre grandes temas do Direito,,,,
Direito Penal Econômico: Leis Penais Especiais,9788553213641,27/03/2019,400,2019
Direito de Empresa,9786559917907,28/09/21,1232,2021
