Nome Pesquisado,ISBN,Data de Disponibilização,Número de páginas,Ano de publicação
SPED fiscal: dos conceitos básicos à prática,,,408,01/01/2014
"Manual prático para restituição, ressarcimento, reembolso e compensação de Tributos Federais: PER/DCOMP",,28/05/2021,,2021
Substituição tributária do ICMS-SP sem complicações,9786556144283,28/04/2021,568,2021
"ISS, ICMS e IPI Aplicáveis à Construção Civil",,,232,2014
Rotinas Trabalhistas,9788555420214,,1280,2015
Coleção curso de tributos indiretos - PIS e COFINS,9788555420535,,,2016
O Novo CPC e seu Impacto no Direito Tributário,,,256,2015
Revista dos Tribunais,9786556144283,28/04/2021,568,2021
Revista dos Tribunais,9786556144283,28/04/2021,568,2021
Herança Legítima Ad Tempus: tutela sucessória no âmbito da filiação resultante de reprodução assistida póstuma,9786556144283,28/04/2021,568,2021
"Clássicos Jurídicos: a luta pelo direito, o contrato social, o príncipe, dos delitos e das penas",9788520372456,,464,2018
"E Agora, Tarsila? Dilemas da reforma trabalhista e as contradições do mundo do trabalho",,,226,2017
CLT Comparada Urgente,,,,
Mediação e Conciliação: teoria e prática,,28/05/2021,,2021
Comentários à Reforma Trabalhista,9786556140278,26/06/2020,264,2020
Mediação Empresarial: aplicação de mecanismos alternativos para solução de disputas entre sócios,9786556146140,,96,2018
Fashion Law: direito e moda no Brasil,9786556144283,28/04/2021,568,2021
Curso de Processo Civil Completo,9786559913077,3/28/22,1928,2022
Introdução ao pensamento jurídico e à teoria geral do Direito Privado,9786550654276,27/05/2020,704,2020
Direito Internacional Público,9788553213016,,1380,2019
Direito do Consumo Sustentável,,,,
As Cortes Supremas Diante da Prova,9788554947392,,245,2018
As Funções da Eficiência no Processo Civil Brasileiro,9788554947415,,300,2017
Não se aplica,9786556140278,26/06/2020,264,2020
Defesa do executado,9788520371183,,2017,300
Tutelas de Urgência e Arbitragem,9788520371398,,2017,300
Reforma Trabalhista na Visão da Advocacia: aspectos práticos e estratégias para o cotidiano,9786556140278,26/06/2020,264,2020
Negócios processuais e desjudicialização da produção da prova,9788520372968,,2017,300
Cumulação de Ações,9788553219827,,304,2019
"Provas: Atipicidade, liberdade e instrumentalidade",9786550652296,2/26/20,600,2020
Responsabilidade Civil – Teoria Geral,9786559910878,6/28/22,"642, 642",2022
Responsabilidade Civil – Direito de Obrigações e Direito Negocial,9786559914593,28/01/2022,1552,2022
Responsabilidade Civil – Direito de Empresa e Exercício da Livre Iniciativa,,28/05/2021,,2021
Responsabilidade Civil – Indenizabilidade e Direito do Consumidor,,28/05/2021,,2021
Responsabilidade Civil – Direito Fundamental à Saúde,9786556140773,28/07/2020,360,2020
Responsabilidade Civil – Responsabilidade Civil do Estado,9786559917945,28/09/21,424,2021
Responsabilidade Civil – Direito Ambiental,9786559916009,11/28/21,540,2021
Responsabilidade Civil – Direito à Informação,9786556140902,28/07/2020,272,2020
