Nome Pesquisado,ISBN,Data de Disponibilização,Número de páginas,Ano de publicação
Conteúdo Extra – Regulamento do Imposto de Renda RIR 2021 – Anotado e Comentado - Ed. 2021,9786556144283,28/04/2021,568,2021
Data Protection Officer (Encarregado): Teoria e Prática de acordo com a LGPD e GDPR,,28/05/2021,,2021
Curso prático de imposto de renda: pessoa jurídica e tributos conexos,,,,
Governança e Compliance nas Estatais,9786556145785,28/05/2021,338,2021
Da Privacidade à Proteção de Dados Pessoais,9786559917969,28/09/21,368,2021
"Comentários à Lei da multipropriedade (Lei nº 13.777/2018): artigo por artigo, com modelos de instrumentos e atos de registro",9786556144283,28/04/2021,568,2021
Por que a Autorregulação Voluntária Funciona? O Caso ANBIMA,9786556144351,28/01/2021,288,2021
Comentários à Lei de Recuperação de Empresas,9786556147567,28/09/21,1200,2021
Visual Law,9786559913213,4/28/22,265,2022
"Pessoa, Direitos e Direito",9786556144498,28/01/2021,188,2021
Regulação Internacional da Governança Corporativa e do Compliance,9786556145846,28/05/2021,239,2021
Compliance Anticorrupção e das Contratações Públicas,9786556146072,28/05/2021,483,2021
Compliance Concorrencial,9786556146034,,300,2021
Criminal Compliance,9786559910991,5/28/22,196,2022
Compliance Digital e LGPD,9786556145761,28/05/2021,300,2021
"Compliance em Direitos Humanos, Diversidade e Ambiental",9786556146003,28/05/2021,502,2021
Governança e Compliance nas Estatais,9786556145785,28/05/2021,338,2021
Compliance na Administração Pública Direta,9786556146027,28/05/2021,400,2021
Cultura Organizacional em Compliance,9786556145754,28/05/2021,260,2021
Due Diligence e Compliance nos Negócios com Terceiros,9786556145983,28/05/2021,328,2021
Manual do DPO - Data Protection Officer,9786556144283,28/04/2021,568,2021
LGPD na Saúde,9786559913008,3/28/22,524,2022
Opiniões Doutrinárias - Pareceres: Direito Público 1,,28/03/2021,,2021
Opiniões Doutrinárias - Pareceres: Direito Público 2 - Direito Processual Civil,,28/03/2021,,2021
Direito Emergencial do Trabalho,9786556144245,28/12/2020,365,2020
Bitcoin: A Tributação de Criptomoedas,9786559910588,6/28/22,"464, 464",2022
Manual do Tribunal do Júri,9786556144535,28/01/2021,608,2021
Comentários Sobre Transação Tributária,9786556149493,28/02/2021,488,2021
Opiniões Doutrinárias - Pareceres: Processo Civil e Processo Coletivo,,28/03/2021,,2021
Aspectos Jurídicos do E-Commerce,9786556147444,7/28/22,388,2022
Prova Testemunhal,9786556148427,28/05/2021,154,2021
Inteligência Artificial (IA),9786556149226,28/09/21,592,2021
Ação Rescisória e Precedentes,9786556147215,28/04/2021,330,2021
Relações Trabalhistas ou Não Trabalhistas na Economia do Compartilhamento,9786559918164,28/08/21,595,2021
O Stress no Meio Ambiente de Trabalho,9786556149523,28/02/2021,228,2021
Retrospectiva Trabalhista 2020,9786556140278,26/06/2020,264,2020
Capacidade civil e pessoas com deficiência intelectual e mental,9786559919857,28/06/2021,366,2021
Redes Sociais e Limites da Jurisdição,9786556147321,28/04/2021,550,2021
Sujeição Passiva na Tributação dos Grupos Societários,9786556147291,28/04/2021,314,2021
Direito Constitucional Pós-Moderno,9786556148229,28/03/2021,720,2021
Prisão,9786556145457,28/05/2021,160,2021
"Reforma da Lei de Falências: Reflexões Sobre Direito Recuperacional, Falimentar e Empresarial Moderno",9786556148397,28/03/2021,496,2021
"Novo Mercado de Crédito: concorrência, regulação e novas tecnologias",9786556147307,28/04/2021,300,2021
Anotações de direito empresarial,9786556147246,15/06/2021,450,2021
Opiniões Doutrinárias - Pareceres,,28/03/2021,,2021
ESG: O Cisne Verde e o Capitalismo de Stakeholder: a tríade regenerativa do futuro global,9786559916993,,751,2021
Decisão-Surpresa e Processo do Trabalho,9786556147284,28/04/2021,252,2021
Execução Penal: teoria e prática,,28/05/2021,,2021
Direito Público Luso e Brasileiro: um exercício de direito constitucional comparado,,,,
A Lei Geral de Proteção de Dados Pessoais: LGPD: aspectos práticos e teóricos relevantes no setor público e privado,9786556144283,28/04/2021,568,2021
Curso de Processo Estrutural,9786556148410,28/05/2021,336,2021
O Direito e o Extrajudicial: Direito Tributário,9786559918591,07/09/2021,176,2021
O Direito e o Extrajudicial: Direito Administrativo,9786559918607,07/09/2021,358,2021
O Direito e o Extrajudicial: Direito Constitucional,9786559918584,07/09/2021,270,2021
O Direito e o Extrajudicial: Direito Penal,9786559918577,07/09/2021,343,2021
O Direito e o Extrajudicial: Processo Civil,9786559918560,07/09/2021,350,2021
O Direito e o Extrajudicial: Direito Civil I,9786559918546,07/09/2021,443,2021
O Direito e o Extrajudicial: Direito Civil II,9786559918553,07/09/2021,296,2021
