Nome Pesquisado,ISBN,Data de Disponibilização,Número de páginas,Ano de publicação
Participação nos lucros e nos resultados: natureza jurídica e incidência previdenciária,9786556146768,28/05/2021,176,2021
Caderno especial: a regulação da criptografia no direito brasileiro,9786556144283,28/04/2021,568,2021
Coleção de Artigos - Curadoria de Caio Tício Mérvio,,28/05/2021,,2021
Coleção curso de tributos indiretos - Curso de ISS,9788520372807,,,2017
Teoria geral dos recursos,9786559912452,4/28/22,952,2022
Direito do Consumidor: fundamentos do direito do consumidor,,,704,01/01/2014
-,,,,
Compliance no Direito Tributário,9786556142753,29/10/2020,392,2020
Direito Jurisprudencial,,,752,01/01/2012
Dicionário de Direito Ambiental,9788520359129,,,2015
Curso de direito do trabalho aplicado: livro das profissões regulamentadas,9786559917808,07/10/21,560,2021
Precedentes Jurisprudenciais: Direito Societário,,,,
Direito Constitucional Ambiental,9788553213719,,350,2019
Julgamento nas Cortes Supremas: precedentes e decisão do recurso diante do novo CPC,9786556144283,28/04/2021,568,2021
"Tutela de Evidência: teoria da cognição, análise econômica processual e comentários sobre o novo CPC",,28/05/2021,,2021
Direito Processual Civil: processo do conhecimento,9786559916320,7/12/21,1104,2021
Direito empresarial: societário,9786556146966,15/06/2021,450,2021
Eficácia das Sentenças na Jurisdição Constitucional,9788520370704,,2017,160
Novo Curso de Processo Civil: teoria do processo civil,9786559916320,7/12/21,1104,2021
Teses Jurídicas dos Tribunais Superiores - Direito do Consumidor I,,,,
Novo Manual de Direito Comercial,9786556147437,,1200,2021
Direito Constitucional Brasileiro,,,,2021
Crimes Contra a Administração Pública,9786556145372,28/05/2021,180,2021
Ética Negocial e Compliance: entre a educação executiva e a interpretação,9786556144283,28/04/2021,568,2021
A Vida e Nada Mais,9788553212408,,685,2018
Direito Penal: parte geral,9786559913572,2/28/22,720,2022
Temas de Direito Ambiental Econômico,9788553213719,,350,2019
Tratado de Direito Administrativo: controle da administração pública e responsabilidade do Estado,,,,
Do Incidente de Assunção de Competência,9786550651831,29/02/2020,250,2020
Comentários ao Código de Processo Civil: perspectivas da magistratura,9786556141343,28/08/2020,1156,2020
Fundamentos da Regulação da Privacidade e Proteção de Dados Pessoais,9788553219919,,240,2019
Epistemologia Judiciária e Prova Penal,9788553218615,,304,2019
Mandado de Segurança Individual e Coletivo: comentários à Lei 12.016/2009,9786556144283,28/04/2021,568,2021
A Autorização no Direito Privado,9786550650698,,250,2020
Direito Exponencial: como as novas tecnologias redefinirão o jurídico do futuro,,,,
Tratamento de Dados Pessoais e Discriminação Algorítmica nos Seguros,9786550654351,30/06/2020,432,2020
Direitos da Criança na Sociedade da Informação,9786556140902,28/07/2020,272,2020
Legislação Trabalhista em Tempos de Pandemia,9786556140278,26/06/2020,264,2020
Medidas Provisórias,9786556144528,28/01/2021,240,2021
"Agência Nacional de Vigilância Sanitária – ANVISA: Lei Nº 9.782, de 26 de Janeiro de 1999",9786556144283,28/04/2021,568,2021
"Agência Nacional de Cinema - ANCINE: Medida Provisória 2.228-1 de 6 de Setembro de 2001 e Lei 12.485, de 12 de Setembro de 2011",9786556144283,28/04/2021,568,2021
"Agência Nacional de Aviação Civil: ANAC - Lei nº 11.182, de 27 de setembro de 2005",9786556144283,28/04/2021,568,2021
"Agência Nacional de Mineração: ANM - Lei nº 13.575, de 26 de dezembro de 2017",9786556144283,28/04/2021,568,2021
"Lei Geral das Agências Reguladoras: Lei nº 13.848, de Junho de 2019",9786556144283,28/04/2021,568,2021
Plenário do Tribunal do Júri,9786559913626,2/28/22,448,2022
Arbitragem Coletiva Societária,9786556148403,28/04/2021,688,2021
Direito Publicitário: proteção do consumidor,9786556143569,28/11/2020,502,2020
O Novo Marco Regulátorio do Saneamento Básico,9786556142111,29/10/2020,540,2020
Prática e Estratégia - Recuperação de Crédito,9788520374290,,2017,432
"Direito constitucional ecológico: Constituição, direitos fundamentais e proteção da natureza",,,,
O Direito do Consumidor no Mundo em Transformação,9786556143552,28/11/2020,360,2020
Conteúdo Extra – Regulamento do Imposto de Renda - RIR 2021 – Anotado e Comentado,9786556144283,28/04/2021,568,2021
